strain	virus	date	accesion	host	country	region	db	segment	url	
E7_turkey_2012	CABYV	2012-XX-XX	MT219985.1	Melon	Turkey	Antalya	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219985.1	
CABYV-C-TH53_thailand_2012	CABYV	2012-XX-XX	KF815688.1	Momordica charantia	Thailand	Suphan Buri	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF815688.1	
CABYV-C-TH2_thailand_2012	CABYV	2012-XX-XX	KF791039.1	Momordica charantia	Thailand	Suphan Buri	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF791039.1	
CABYV-R-TH37_thailand_2012	CABYV	2012-XX-XX	KF815679.1	Momordica charantia	Thailand	Suphan Buri	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF815679.1	
CABYV-C-TH37_thailand_2012	CABYV	2012-XX-XX	KF815678.1	Momordica charantia	Thailand	Suphan Buri	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF815678.1	
CABYV-C-TH22_thailand_2012	CABYV	2012-XX-XX	KF791040.1	Cucumber	Thailand	Suphan Buri	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF791040.1	
CABYV-R-TH1_thailand_2012	CABYV	2012-XX-XX	KF791037.1	Momordica charantia	Thailand	Chiang Mai	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/KF791037.1	
11.1Zu_M_Mos_2012	CABYV	2012-XX-XX	OM948836	Zucchini	Spain	Murcia	genbank	cp		
7.1Me_M_Mos_2012	CABYV	2012-XX-XX	OM948851	Melon 	Spain	Murcia	genbank	cp		
AT1_turkey_2013	CABYV	2013-XX-XX	MT219978.1	Zucchini	Turkey	Ankara	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MT219978.1	
SuCp122-13_sudan_2013	CABYV	2013-XX-XX	MG933686.1	Cicer arietinum	Sudan	Sudan	genbank	cp	https://www.ncbi.nlm.nih.gov/nuccore/MG933686.1	
